"category"
"IAB1-ABC"
"IAB1-APTV"
"IAB1-Act"
"IAB1-CBS2"
"IAB1-Com"
"IAB1-Crime"
"IAB1-DisPlus"
"IAB1-Drama"
"IAB1-ESPN1"
"IAB1-FOX"
"IAB1-FX"
"IAB1-Fant"
"IAB1-HBO"
"IAB1-MaT"
"IAB1-NBC"
"IAB1-OWN"
"IAB1-Real"
"IAB1-Scifi"
"IAB1-Show"
"IAB1-Starz"
"IAB1-TBS"
"IAB13-FinS"
"IAB13-HIns"
"IAB13-LI"
"IAB13-M"
"IAB13-PfR"
"IAB13-REI"
"IAB13-RP"
"IAB13-S"
"IAB13-SB"
"IAB21-PreMove"
"IAB3-Farm"
"IAB3-Recruit"
"IAB3-RemW"
"IAB4-Carr"
"IAB4-Job"
"IAB4-RW"
"IAB4-Ret"
"IAB6-Par"
"IAB6-SL"
"IAB7-ADD"
"IAB7-AaA"
"IAB7-CaF"
"IAB7-DaC"
"IAB7-E"
"IAB7-ED"
"IAB7-ENa"
"IAB7-EaM"
"IAB7-FAC"
"IAB7-H"
"IAB7-HI"
"IAB7-Hosp"
"IAB7-ID"
"IAB7-IaA"
"IAB7-Imm"
"IAB7-Labs"
"IAB7-MH"
"IAB7-MHC"
"IAB7-MR"
"IAB7-NBS"
"IAB7-ND"
"IAB7-Onc"
"IAB7-PD"
"IAB7-Pharm"
"IAB7-Phys"
"IAB7-Psyc"
"IAB7-Psyc2"
"IAB7-SAa"
"IAB7-SaM"
"IAB7-Sx"
"IAB7-TD"
"IAB7-VD"
"IAB7-VI"
